adjustable,flicker_free,mount_compatible,price,product_name,refresh_rate,resolution,response_time,review_count,review_rating,screen_curvature,video_inputs
,,,199.18,"SAMSUNG SD300 Series S24D300H Black 24"" 2ms (GTG) HDMI Widescreen LCD/LED Monitor, 250 cd/m2 DCR Mega Infinity (1000:1), D-Sub, HDMI",,,,62,4,,
,,,219.99,"VIOTEK GNV29CB Ultrawide Curved 29-Inch Gaming Monitor  120Hz UWFHD 21:9 w/ Immersive 1200R VA Panel  FreeSync, G-SYNC-Compatible  3-Year Warranty",Refresh Rate: 120Hz (max) ,Resolution: 2560 x 1080p ,"Response Time: 5ms (GTG), 4ms (OD) ",8,5,,
Tilt Adjustable,,VESA Mount Compatible,609.91,"Acer K2 Series K272HUL 27"" WQHD 2560 x 1440 2K Resolution 1ms 60Hz DVI-D HDMI DisplayPort Built-in Speakers Eco Friendly Design LED Backlit LCD Monitor",,2560 x 1440 WQHD 2K Resolution @ 60Hz,1ms Response Time,88,4,,"VGA, DVI, HDMI Video Inputs"
,,,305.48,"Dell SE2416H 24"" (Actual size 23.81"") 1920 x 1080 6 ms 60 Hz D-Sub, HDMI LCD Monitor IPS",,,,135,4,,
"Tilt Adjustable: Yes, -5° ~ 15°",,,149.99,"Viotek GN24CB 24-Inch Curved Gaming Monitor with Speakers, 1080P 144Hz Bezel-Less Samsung VA Panel, 2 x HDMI, DisplayPort, FreeSync 3-Year Warranty",Refresh Rate: 144Hz,Resolution: 1920x1080p,Response Time: 4ms GTG (3.1ms with Overdrive),2,1,,
,,,159.99,VIOTEK FI24D 24-Inch IPS QHD Gaming Monitor  75Hz 1440p 6ms (OD)  FreeSync GamePlus G-Sync-Compatible  HDMI DP 3.5mm  3-Year Warranty,Refresh Rate: 60Hz (75Hz OC) ,Resolution: QHD (2560 x 1440p),Response Time: 14ms GTG (6ms Overdrive),4,3,,
,,,189.99,"VIOTEK NB32CW 32"" White Curved Gaming Monitor, 60Hz, 1080P, AMD Freesync, VGA, HDMI, VESA Mount",,,,5,3,,
,,,219.99,"VIOTEK GNV29CB Ultrawide Curved 29-Inch Gaming Monitor  120Hz UWFHD 21:9 w/ Immersive 1200R VA Panel  FreeSync, G-SYNC-Compatible  3-Year Warranty",Refresh Rate: 120Hz (max) ,Resolution: 2560 x 1080p ,"Response Time: 5ms (GTG), 4ms (OD) ",9,3,,
,,VESA Mountable,429.99,"HP Omen 32"" 75Hz AMD FreeSync 2560 x 1440 Monitor, 3000:1, 300 cd/m², HDMI, DisplayPort, Tilt, VESA Mountable",,,,5,4,,
"Tilt, Swivel, Height Adjustable",,VESA Mount Compatible,,"Acer Predator X27 Pbmiphzx 27"" Ultra HD 3840 x 2160 4K 4ms (GTG) 120 Hz / 144HZ (OC) HDMI DisplayPort NVIDIA G-Sync USB 3.0 Hub Built-in Speakers Backlit LED IPS Gaming Monitor","120Hz, 144Hz (OC) Refresh Rate",3840 x 2160 Ultra HD 2K Resolution,4ms (GTG) Response Time,1,5,,"HDMI, DisplayPort Video Inputs"
,,,114.48,"AOC 24V2H 23.8"" Full HD 1920 x 1080 Ultra-Slim Monitor, Edge-to-Edge Frameless IPS Panel, 5ms, 75Hz, AMD FreeSync, FlickerFree, HDMI/VGA",,,,5,5,,
,,,299.99,"Z-EDGE UG30 30"" 21:9 Ultrawide WFHD 2560x1080 165Hz 1ms MPRT R1500 Curved LED Gaming Monitor, FreeSync, HDMIx2+DP+USB, Built-in Speakers",,,1ms Response Time.,5,5,R1500 Curvature.,"DP, HDMI Video Inputs, and USB port."
Tilt Adjustable,,VESA Mount Compatible,135.99,"Acer GF246 bmipx 24"" Full HD 1920 x 1080 75Hz 1ms HDMI VGA DisplayPort AMD FreeSync Built-in Speakers FlickerLess Blue Light Filter LED Backlit Gaming Monitor",75Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,119,4,,"VGA, HDMI, DisplayPort Video Inputs"
,,VESA Mount Compatible,272.48,"BenQ Zowie RL Series RL2455S 24"" e-Sports Monitor Full HD 1920 x 1080 75Hz 1ms VGA 2x HDMI DVI Built-in Speakers Flicker Free LED Backlit LCD Gaming Monitor",75Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,3,5,,"2 x HDMI, DVI, VGA Video Inputs"
"Tilt Adjustable",,VESA Mount Compatible,379.99,"SAMSUNG C32JG56 32"" WQHD 2560 x 1440 2K Resolution 4ms 144Hz 2x HDMI, DisplayPort Flicker-Free AMD FreeSync Eco Saving Plus Widescreen LED Backlit Curved Gaming Monitor","144Hz Refresh Rate","2560 x 1440 WQHD 2K Resolution","4ms Response Time",22,4,,"DisplayPort (1.2), 1 x HDMI (2.0), 1 x HDMI (1.4) Video Inputs"
Tilt Adjustable,Flicker-Free Technology,VESA Mount Compatible,,"HP N246v 1RM28A6#ABA 24"" (Actual size 23.8"") Full HD 1920 x 1080 5 ms 60 Hz D-Sub, DVI, HDMI IPS Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,,9,5,,"VGA, DVI-D, HDMI Video Inputs"
"Height, Tilt Adjustable",,VESA Mount Compatible,,"MSI Optix MAG322CR 32"" (Actual size 31.5"") Full HD 1920 x 1080 1ms (MPRT) 180Hz 2 x HDMI, DisplayPort, USB Type-C, USB Hub AMD FreeSync Frameless Anti-Glare LED Backlit Curved Gaming Monitor",180Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms (MPRT) / 4ms (GTG) Response Time,28,5,,"2 x HDMI (2.0),  DisplayPort (1.2), USB Type-C Video Inputs"
,,,169.99,"Acer KG241Q Sbiip UM.UX1AA.S02 24"" (Actual size 23.6"") Full HD 1920 x 1080 1ms (GTG), Up to 0.5ms (GTG) 144 Hz (Overclock to 165 Hz) 2 x HDMI, DisplayPort AMD Radeon FreeSync Gaming Monitor","Refresh Rate: 144Hz (Overclock to 165Hz)",,"Response Time: 1ms (G to G) - Up to 0.5ms (G to G)",43,5,,
,,,699.99,"ASUS ROG Swift PG259QN eSports G-SYNC Gaming Monitor 24.5"" FHD (1920 x 1080), 360 Hz, Fast IPS, 1 ms (GTG), HDR, NVIDIA ULMB",,,,9,4,,
,,VESA Mount Compatible,299.99,"Pixio PX278 27"" WQHD 2560 x 1440 2K 1ms (GTG) 144Hz 2xHDMI DisplayPort AMD FreeSync Flicker-Free Low Blue Light Backlit LED Gaming Monitor","144Hz Refresh Rate","2560 x 1440p WQHD 2K Resolution","1ms (GTG) Response Time",43,5,,"DisplayPort (1.2), 1 x HDMI (2.0), 1 x HDMI (1.4) Video Inputs"
,,,44.9,"Fullcom Tech 11.6"" WXGA HD Slim 30 pin Matte LED LCD Screen/display compatible for Acer CHROMEBOOK 11 CB3-111-C4HT",,Resolution: 1366*768   ,,1,5,,
,,,857.99,"ASUS MG279Q Black 27"" WQHD 2560 x 1440 (2K) IPS 144 Hz 4ms FreeSync LED Gaming Monitor w/ Asus Excusive GamePlus and Flicker Free Technology, Built-in Speaker",,,,,,,
"Tilt, Swivel, Pivot, Height Adjustable ","ASUS EyeCare with Low-Blue Light and Flicker-Free Technology ",,686.99,"ASUS PB287Q 28"" UHD 3840 x 2160 (4K) 1ms (GTG) 60 Hz HDMI/MHL, DisplayPort Built-in Speakers 10-bit Color Monitor",,"3840 x 2160 Ultra HD 4K Resolution","1ms GTG Response Time",,,,
,,,159.68,"10.1"" HDMI LCD (B) 1280*800 IPS Capacitive Touch Screen And Case For Raspberry Pi/BB Black/Computer - With Charger",,,,3,5,,
"Tilt, Height, Swivel and Pivot Adjustable ",,"Wall-Mount Capability",563,"Acer Predator XB1 XB271H bmiprz Black 27"" 1ms (GTG) 144 Hz / 170 Hz (Overclock), 1920 x1080 FHD  NVIDIA G-Sync, VESA Mountable, Height, Tilt, Swivel and Pivot Adjustable, 2 x 2w Speakers",,,,6,5,,
Tilt Adjustable,,VESA Mount Compatible,149.99,"Acer GN246HL 24"" Full HD 1920 x 1080 144Hz 1ms DVI HDMI VGA Immersive 3D Backlit LED Gaming Monitor",144Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,,,,"VGA, DVI, HDMI Video Inputs"
"Height, Tilt, Swivel, Pivot Adjustable",,,314.59,"Dell UltraSharp U2419HC 23.8"" Full HD 1920 x 1080 60Hz 5ms DisplayPort, HDMI, USB Type-C Height Tilt Swivel Pivot Adjustable USB Hub LED Backlit IPS LCD Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,5ms Response Time,1,1,,
,,,299.95,"Green ITC LAVA 27"" ECO27QDP LED Matte Screen A-MVA Panel 2560x1440 WQHD (Display Port, DVI-D, D-SUB, HDMI) PC Monitor",,,,1,1,,
,,,223.99,"ASUS VS229H-P Black 22"" (Actual size 21.5"") Widescreen LED Monitor FHD 1920 x 1080 IPS 5ms (GTG) VESA HDMI DVI VGA 3.5mm Earphone Jack",,,,,,,
,,,404.98,"ASUS ZenScreen GO MB16AP Portable USB Monitor - 15.6-inch, Full HD, Built-in Battery, Hybrid Signal Solution, USB Type-C, Flicker Free, Blue Light Filter",,,,2,1,,
,,,44.9,"Fullcom Tech 11.6"" WXGA HD Slim 30 pin Matte LED LCD Screen/display compatible for Acer Chromebook 11 CB3-111",,Resolution: 1366*768   ,,1,4,,
,,,,"LG 31MU97C-B 31"" 4096 x 2160 (4K) 5 ms HDMI Yes (x2, ver 1.4)
DisplayPort Yes (x1, ver 1.2)
Mini DisplayPort Yes (x1, ver 1.2) Built-in Speakers LCD Monitor",,,,3,1,,
"Tilt, Pivot, Height Adjustable",,VESA Mount Compatible,199.99,"Acer XF270H Bbmiiprx 27"" Full HD 1920x1080 1ms 144Hz AMD FreeSync DisplayPort HDMI Height Pivot Tilt Built-in Speakers Backlit LED LCD Gaming Monitor",144Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,1,5,,
Tilt Adjustable,,VESA Mount Compatible,169.99,"HP 27YH 27"" Full HD 1920 x 1080 5ms (GTG) VGA HDMI DVI-D Low Blue Light HDCP Compatible Anti-Glare Backlit LED LCD Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,5ms (GTG) Response Time,4,5,,"VGA, HDMI, DVI-D Video Inputs"
"Ergonomic Stand Design with Adjustable Swivel, Pivot, Tilt, and Height",,,549.99,"AORUS FI27Q-P 27"" Frameless Gaming Monitor, QHD 1440p, 95% DCI-P3 Color Accurate IPS Panel, 1ms 165Hz, HDR, G-SYNC Compatible and FreeSync Premium, VESA, Zero Bright Dot Policy","Silky Smooth 165 Hz Refresh Rate",,"Ultra Fast 1 ms Response Time (MPRT)",111,4,,
Tilt Adjustable,,VESA Mount Compatible,239.99,"Acer EB321HQU Cbidpx 32"" (Actual size 31.5"") WQHD 2560 x 1440 (2K) 4ms GTG DVI HDMI DisplayPort LED Backlit IPS Monitor",,2560 x 1440 WQHD 2K Resolution @ 60Hz,4ms GTG Response Time,25,5,,"DVI, HDMI, DisplayPort Video Inputs"
Tilt Adjustable,,VESA Mount Compatible,239.99,"MSI Optix G271 27"" Full HD 1920 x 1080 1ms (MPRT) / 4ms (GTG) 144Hz 2xHDMI DisplayPort AMD FreeSync Anti-Glare Frameless Design Backlit LED IPS Gaming Monitor",144Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms (MPRT) / 4ms (GTG) Response Time,35,4,,"2 x HDMI (1.4), DisplayPort (1.2) Video Inputs "
,,,137.99,"ASUS VP248QG 24"" Full HD 1920 x 1080 1ms HDMI, DisplayPort, VGA Adaptive Sync/FreeSync Eye Care Monitor",,,,9,5,,
,,,327.3,"ASUS ProArt Display PA278QV 27"" WQHD 2560 x 1440 Professional Monitor, 100% sRGB/Rec. 709 Delta E < 2, IPS, DisplayPort HDMI DVI-D Mini DP, Calman Verified, Eye Care, Anti-glare, Tilt Pivot Swivel Height Adjustable",,,,40,5,,
,,,203.88,"Acer XF250Q Bbmiiprx 25"" (Actual size 24.5"") Full HD 1920 x 1080 144Hz TN FreeSync Gaming Monitor",,,,4,3,,
"Height, Tilt, Swivel, Pivot Adjustable",Flicker-Free Technology,,229.99,"Dell P2719H 27"" Full HD 1920 x 1080 60Hz 5ms DisplayPort HDMI VGA USB Hub Anti-Glare Flicker-Free UltraThin Bezel LED Backlit IPS Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,"8ms (Normal), 5ms (Fast) Response Time",2,5,,"DisplayPort (1.2), HDMI (1.4), VGA Video Inputs"
Tilt Adjustable,,VESA Mount Supported by optional AG242M5 VESA Mounting Plate,239.99,"MSI Optix G27C2 27"" 1920 x 1080 1ms (MPRT) / 4ms (GTG) 144Hz DVI HDMI DisplayPort AMD FreeSync Widescreen Anti-Glare LED Backlight Curved Gaming Monitor",144Hz Refresh Rate,1920 x 1080 Full HD Resolution,"1ms (MPRT), 4ms (GTG) Response Time",121,4,,"DisplayPort (1.2), HDMI (1.4), DVI Video Inputs"
,,,289.99,"ASUS VG279Q 27"" Full HD 1920 x 1080 1ms MPRT , 3ms(GTG) 144 Hz DVI, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Built-in Speakers Gaming Monitor, Full HD, IPS, 144Hz, Adaptive-Sync",,,,39,4,,
,,,152.24,"Acer B227Q 21.5"" 1920x1080 FHD LED LCD IPS 4ms 75Hz Professional Series Monitor",,,"4ms (GTG) Fast Response Time",11,4,,
"Tilt, Swivel, Pivot, Height Adjustable",,VESA Mount Compatible,163.99,"DELL P2419H 24"" 1920 x 1080 Full HD 5ms DisplayPort, HDMI, VGA, USB Hub Anti-Glare LED Backlit IPS Monitor",,,"8 ms (normal), 5 ms (fast) Response Time",9,5,,"DisplayPort (1.2), HDMI (1.4), VGA Video Inputs"
"Ergonomic Stand Design with Adjustable Swivel, Tilt, and Height",,,409.99,"AORUS CV27Q-SA 27"" Frameless Curved 1500R Gaming Monitor, Quad HD 1440p, 90% DCI-P3 Color Accurate VA Panel, 1ms 165 Hz, HDR, FreeSync Premium Pro, VESA, Zero Bright Dot Policy",Silky Smooth 165 Hz Refresh Rate,,Ultra Fast 1 ms Response Time (MPRT),159,4,Immersive 1500R Curvature,
Tilt Adjustable,,,149.99,"MSI OPTIX G241VC 24"" (Actual size 23.6"") Full HD 1920 x 1080 1ms 75Hz VGA HDMI AMD FreeSync Anti-Glare Backlit LED Curved Gaming Monitor",75Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,6,4,,"VGA, HDMI Video Inputs "
Height & Tilt Adjustable,,,279.99,"MSI OPTIX MAG272CR 27"" Full HD 1920 x 1080 1 ms 165 Hz HDMI, DisplayPort, USB-C AMD FreeSync Curved Gaming Monitor",,,,40,5,,
"28"" SAMSUNG UHD, TN Panel with Premium Adjustable Stand, TAA version",,Mounting type: Wall-Mount (Size mm) 100x100mm (VESA),389,"Samsung UE850 LU28E85KRS/GO 28"" Screen LED-Lit Monitor",,Resolution: UHD (3840x2160),Response Time: 1MS,8,5,,
Tilt Adjustable,,VESA Mount Supported by optional AG242M5 VESA Mounting Plate,479.99,"MSI Optix MAG341CQ 34"" UWQHD 3440 x 1440 2K 100Hz 8ms (GTG) DisplayPort HDMI DVI AMD FreeSync Anti-Flicker UltraWide Anti-Glare Backlit LED Curved Gaming Monitor",100Hz Refresh Rate,3440 x 1440 UWQHD 2K Resolution,8ms (GTG) Response Time,52,4,,"DisplayPort, HDMI (2.0), DVI Video Inputs"
,,,249.99,"MSI Optix MAG271VCR 27"" Full HD 1920 x 1080 1ms (MPRT) / 4ms (GTG) 165 Hz 2 x HDMI, DisplayPort FreeSync Curved Gaming Monitor","165Hz Refresh Rate - Real smooth gaming.",,,2,5,,
,,,335.99,"ASUS TUF Gaming VG27WQ1B 27"" Curved Monitor, 1440P WQHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Adaptive-sync/FreeSync Premium, Extreme Low Motion Blur, Eye Care, HDMI DisplayPort, HDR10",,,,3,3,,
,,,254.99,"MSI Optix MAG273R 27"" Full HD 1920 x 1080 1 ms 144 Hz HDMI, DisplayPort, USB FreeSync (AMD Adaptive Sync) IPS Gaming Monitor",,,,33,4,,
,,,249.99,"Dell U2415 UltraSharp 24.1"" 6ms (GTG) Dual HDMI Widescreen LCD Monitor IPS 300 cd/m2 DCR 2,000,000:1 (1000:1), Height & Pivot Adjustable, Built in USB 3.0 Hub",,,,53,4,,
Height & Tilt Adjustable,,,349.99,"MSI OPTIX MAG272CRX 27"" 1920 x 1080 1 ms 240 Hz HDMI, DisplayPort, USB-C AMD FreeSync Curved Gaming Monitor",,,,13,4,,
,Asus Eye Care with Ultra Low-Blue Light and Flicker-Free Technology ,,129.99,"ASUS VE248Q 24"" 1920 x 1080 2ms (GTG) VGA HDMI DisplayPort Asus Eye Care with Ultra Low-Blue Light & Flicker-Free Built-in Speakers LCD Monitor",,1920 x 1080 Full HD Resolution,2ms (GTG) Response Time ,,4,,"VGA, HDMI DisplayPort Video Inputs"
,,,279.99,"SAMSUNG T55 Series C32T55 32"" (Actual size 31.5"") Full HD 1920 x 1080 75 Hz VGA, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Curved Gaming Monitor",,,,4,4,,
"Tilt, Swivel, Height Adjustable",,VESA Mount Compatible,299.99,"Acer Nitro XZ272U Pbmiiphx 27"" WQHD 2560 x 1440 2K 4ms (GTG) 165Hz 2xHDMI DisplayPort AMD Radeon FreeSync HDR 400 Built-in Speakers Anti-Glare Backlit LED Curved Gaming Monitor",165Hz Refresh Rate,2560 x 1440 WQHD 2K Resolution,4ms (GTG) Response Time ,10,4,,"2 x HDMI (2.0), DisplayPort Video Inputs "
,,,439.99,"MSI Optix MAG342CQRV 34"" UWQHD 3440 x 1440 (2K) 1ms (MPRT) / 4ms (GTG) 100 Hz 2 x HDMI, DisplayPort AMD FreeSync Curved Gaming Monitor","100Hz Refresh Rate - Real smooth gaming.","UWQHD High Resolution - Game titles will even look better, displaying more details due to the UWQHD resolution.",,2,5,,
Tilt Adjustable,,,199.99,"LG 24GL65B-B 24"" Full HD 1920 x 1080 144Hz 1ms 2 x HDMI, DisplayPort Radeon FreeSync Technology Flicker Safe Anti-Glare Widescreen LED Backlit Gaming Monitor",144Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,45,5,,"2 x HDMI, DisplayPort Video Inputs"
"Swivel, Tilt, Height Adjustable",,VESA Mount Compatible,,"Samsung CRG9 Series C49RG90S 49"" Dual Quad HD 5120 x 1440 Resolution 120Hz 4ms HDMI, 2x DisplayPort AMD FreeSync 2 Flicker Free HDR1000 QLED Curved Gaming Monitor",,"5120 x 1440 Dual QHD Resolution @ 120Hz","4ms Response Time",43,4,,
"Tilt, Swivel, Pivot Adjustable","Flicker-Free Technology",VESA Mount Compatible,799.99,"SAMSUNG Odyssey G7 C32G75T 32"" (Actual Size 31.5"") QHD 2560 x 1440 (2K) 1 ms (GTG) 240 Hz HDMI, 2xDisplayPort, USB G-Sync Compatible Curved Gaming Monitor","240Hz Refresh Rate","2560 x 1440 Quad HD 2K Resolution","1ms (GTG) Response Time",21,4,"1000R Screen Curvature","2 x DisplayPort (1.4), HDMI (2.0) Video Inputs"
"Tilt, Swivel, Height Adjustable",,VESA Mount Compatible,799.99,"MSI Optix MPG341CQR 34"" 3440 x 1440 UWHD 144Hz 1ms 2xHDMI DisplayPort USB Type-C AMD FreeSync HDR 400 Tilt Swivel Height Adjustable Backlit LED Curved Gaming Monitor",144Hz Refresh Rate,3440 x 1440 UWQHD 3K Resolution,1ms Response Time,22,4,,
"Tilt, Swivel, Height Adjustable",,VESA Compatibility - Mountable,219.99,"MSI Optix MAG240CR 24"" Full HD 1920 x 1080 1ms (MPRT) / 4ms (GTG) 144 Hz HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Curved Gaming Monitor","144 Hz Refresh Rate ","Curved 1920 x 1080 FHD Resolution","1ms (MPRT) / 4ms (GTG) Response Time ",44,4,,
Tilt Adjustable,,,129.99,"Asus VZ249HE 24"" (Actual size 23.8"") Full HD 1920 x 1080 5ms VGA HDMI Asus Eye Care with Ultra-Low Blue Light & Flicker Free FrameLess LED Backlit IPS Monitor",,1920 x 1080 Full HD Resolution,5ms Response Time,228,4,,
"Tilt, Swivel, Pivot, Height Adjustable",,,171.99,"HP EliteDisplay E243 24"" (Actuals zie 23.8"") Full HD 1920 x 1080 60Hz 5ms VGA HDMI DisplayPort USB 3.0 Hub Anti-Glare Screen Backlit LED IPS Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,5ms Response Time,8,5,,
,,VESA Mountable Compatible,89.99,"Acer K222HQL bid 21.5"" Full HD 1920 x 1080 60Hz 5ms DVI HDMI VGA EcoDisplay Adaptive Contrast Management Backlit LED LCD Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,5ms Response Time,16,3,,"DVI, HDMI, VGA Video Inputs"
"Tilt, Height Adjustable",,,399.99,"MSI Optix MAG272CQR 27"" WQHD 2560 x 1440 2K Resolution 1ms (MPRT) 165Hz HDMI DisplayPort USB-C AMD FreeSync Anti-Flicker HDR Ready Backlit LED Curved Gaming Monitor",165Hz Refresh Rate,2560 x 1440 WQHD 2K Resolution,1ms (MPRT) / 4ms (GTG) Response Time ,23,5,,
"Tilt, Swivel Adjustable",Asus Eye Care Technology with Ultra Low Blue Light and Flicker-Free Technology,VESA Mount Compatible,299.99,"ASUS TUF Gaming VG328H1B 32"" Full HD 1920 x 1080 165Hz (OC) 1ms (MPRT) HDMI VGA Extreme Low Motion Blur FreeSync Flicker-Free Built-in Speakers Backlit LED Curved Gaming Monitor","144Hz, 165Hz (OC) Refresh Rate",1920 x 1080 Full HD Resolution,1ms (MPRT) Response Time,11,4,,"HDMI (2.0), VGA Video Inputs"
,,,119.99,"Acer K242HL Dbid 24"" Black 1ms Response Time LED Monitor 1920 x 1080 Widescreen 16:9 250 cd/m2 1000:1 VGA, DVI, HDMI","60Hz Refresh Rate","24"" TN Panel with 1920 x 1080 FHD Resolution","1ms Response Time",22,4,,
